,Year,Panel,Category,Proposal,Project,Role,FirstName,Initials,Surname,Gender
1289,2012,EIS,FS,12-UOC-091,Electrocatalytic conversion of carbon dioxide to methanol,PI,Aaron,AT,Marshall,M
1626,2013,ESA,STD,13-VUW-101,Locked and loaded? Effects of deep seismic and aseismic deformation on Alpine Fault earthquakes,AI,Aaron,AG,Wech,M
2992,2017,PCB,STD,17-UOC-064,Tailored environments for highly active and stable electrocatalysts,PI,Aaron,AT,Marshall,M
1600,2013,ESA,STD,13-GNS-016,"New Zealand's stormy past: resolving changes in South Island precipitation under varying influence of tropical and polar forcing over the past 17,000 years",AI,Abha,A,Sood,F
1433,2013,BMS,STD,13-UOA-131,Improving radiotherapy outcomes: chain release of drugs to kill refractory cancer cells and inhibit metastatic spread,AI,Adam,AV,Patterson,M
1707,2013,MIS,FS,13-VUW-017,Computability theory in the constructible universe,PI,Adam,AR,Day,M
1966,2014,ESA,FS,14-UOW-025,The terrestrial carbon cycle in transition: tracking changes using novel tracers on multiple timescales,PI,Adam,A,Hartland,M
2734,2017,CMP,FS,17-UOO-211,Capturing the growth of a destructive ubiquitin chain,PI,Adam,AJ,Middleton,M
2882,2017,ESA,STD,17-UOO-052,Stretching ice to the limit: New flow laws for ice sheets,AI,Adam,A,Treverrow,M
806,2010,ESA,STD,10-UOO-016,Evaluating the impact of excess ionisation on the atmosphere (EI EI A),AI,Adrian,AJ,McDonald,M
1313,2012,ESA,STD,12-NIW-006,Investigating the role of ozone in New Zealand and Southern Hemisphere climate change,AI,Adrian,AJ,McDonald,M
2187,2015,EIS,STD,15-UOA-023,Shedding new light on the eye,AI,Adrian,AGH,Podoleanu,M
2616,2016,PCB,STD,16-UOW-027,Macromolecular rate theory (MMRT) and the catalytic power of enzymes,PI,Adrian,AJ,Mulholland,M
836,2010,HUM,STD,10-VUW-141,A natural history of necessity,PI,Adriane,AA,Rini,F
2933,2017,HUM,STD,17-MAU-036,The Logic of Ordinary Language,PI,Adriane,AA,Rini,F
1305,2012,ESA,STD,12-GNS-029,Sticky or creepy: what causes abrupt changes in seismic behaviour along subduction plate boundaries?,AI,Agnes,AG,Reyes,F
2509,2016,ESA,STD,16-NIW-021,"Corals, currents, and phytoplankton: Reconstructing 3000 years of circulation and marine productivity in the world's largest ocean gyre",AI,Aimée,AF,Komugabe-Dixson,F
2065,2014,SOC,FS,14-MAU-001,The business of care: constructing a childcare market in Aotearoa/New Zealand,PI,Aisling,A,Gallagher,F
1306,2012,ESA,STD,12-GNS-029,Sticky or creepy: what causes abrupt changes in seismic behaviour along subduction plate boundaries?,AI,Ake,A,Fagereng,M
1560,2013,EIS,STD,13-MAU-116,No longer lost in recognition: development of novel large-vocabulary continuous speech recognition techniques,AI,Akinobu,A,Lee,M
127,2008,ESA,STD,08-GNS-004,How do tectonic plates lock together?,AI,Akira,A,Hasegawa,F
67,2008,EEB,STD,08-LCR-012,New Zealand's megaherbivores: resolving their ecological role and the impact of their extinction on the flora,PI,Alan,AJ,Cooper,M
241,2008,SOC,STD,08-MAU-002,Social meanings of medication,PI,Alan,A,Radley,M
